"Phylum" "Class" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"7160" "Chordata" "Aves" "Numididae" "Numida" 5.333 0 93 94
"7182" "Chordata" "Aves" "Ardeidae" "Nyctanassa" 4.9 0 93 94
"7201" "Chordata" "Aves" "Ardeidae" "Nycticorax" 33.9 0 88 94
"7225" "Chordata" "Aves" "Oceanitidae" "Oceanites" 5.333 0 93 94
"7231" "Chordata" "Aves" "Hydrobatidae" "Oceanodroma" 11.62 0 92 94
"7246" "Chordata" "Aves" "Columbidae" "Oena" 83.6 0 80 94
"7254" "Chordata" "Saurischia" "Mamenchisauridae" "Omeisaurus" 174.1 145 63 69
"7277" "Chordata" "Ornithischia" "Ankylosauridae" "Oohkotokia" 83.6 70.6 80 81
"7280" "Chordata" "Aves" "Rheidae" "Opisthodactylus" 15.97 3 91 93
"7302" "Chordata" "Saurischia" "Compsognathidae" "Ornitholestes" 161.2 145 67 69
"7304" "Chordata" "Saurischia" "Ornithomimipodidae" "Ornithomimipus" 125 66 74 81
"7311" "Chordata" "Saurischia" "Ornithomimidae" "Ornithomimus" 83.6 66 80 81
"7340" "Chordata" "Ornithischia" "Thescelosauridae" "Orodromeus" 83.6 66 80 81
"7347" "Chordata" "Aves" "Cracidae" "Ortalis" 24.8 0 89 94
"7355" "Chordata" "Aves" "Pelagornithidae" "Osteodontornis" 58.7 5.333 83 92
"7379" "Chordata" "Saurischia" "Otozoidae" "Otozoum" 237 174.1 56 62
"7397" "Chordata" "Aves" "Strigidae" "Otus" 20.44 0 90 94
"7423" "Chordata" "Ornithischia" "Ovaloolithidae" "Ovaloolithus" 100.5 66 76 81
"7442" "Chordata" "Aves" "Anatidae" "Oxyura" 4.9 0 93 94
"7455" "Chordata" "Ornithischia" "Pachycephalosauridae" "Pachycephalosaurus" 83.5 66 80 81
"7494" "Chordata" "Aves" "Procellariidae" "Pachyptila" 5.333 0 93 94
"7513" "Chordata" "Ornithischia" "Ceratopsidae" "Pachyrhinosaurus" 83.5 66 80 81
"7524" "Chordata" "Aves" "Spheniscidae" "Palaeeudyptes" 56 15.97 84 90
"7547" "Chordata" "Aves" "Palaelodidae" "Palaelodus" 33.9 15.9 88 91
"7553" "Chordata" "Aves" "Phasianidae" "Palaeocryptonyx" 5.333 0.0117 93 94
"7557" "Chordata" "Aves" "Phasianidae" "Palaeortyx" 33.9 5.333 88 92
"7573" "Chordata" "Aves" "Sulidae" "Paleosula" 15.97 10.3 91 92
"7578" "Chordata" "Aves" "Pandionidae" "Pandion" 15.97 0 91 94
"7591" "Chordata" "Ornithischia" "Nodosauridae" "Panoplosaurus" 83.5 66 80 81
"7632" "Chordata" "Aves" "Hesperornithidae" "Parahesperornis" 89.8 70.6 78 81
"7635" "Chordata" "Aves" "Rallidae" "Paraortygometra" 33.9 11.608 88 92
"7641" "Chordata" "Aves" "Spheniscidae" "Paraptenodytes" 23.03 11.608 90 92
"7649" "Chordata" "Ornithischia" "Hadrosauridae" "Parasaurolophus" 83.5 70.6 80 81
"7748" "Chordata" "Aves" "Rallidae" "Parvirallus" 47.8 38 85 86
"7775" "Chordata" "Aves" "Phorusrhacidae" "Patagornis" 17.5 11.608 90 92
"7781" "Chordata" "Aves" "Phasianidae" "Pavo" 11.608 0.126 92 94
"7784" "Chordata" "Saurischia" "Troodontidae" "Pectinodon" 99.6 66 76 81
"7792" "Chordata" "Aves" "Oceanitidae" "Pelagodroma" 5.333 0 93 94
"7809" "Chordata" "Aves" "Pelagornithidae" "Pelagornis" 41.3 2.588 85 93
"7829" "Chordata" "Aves" "Procellariidae" "Pelecanoides" 19 0 90 94
"7867" "Chordata" "Aves" "Pelecanidae" "Pelecanus" 28.4 0 88 94
"7928" "Chordata" "Ornithischia" "Ceratopsidae" "Pentaceratops" 83.5 66 80 81
"8047" "Chordata" "Aves" "Phalacrocoracidae" "Phalacrocorax" 33.9 0 88 94
