"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"4320" "Arthropoda" "Insecta" "Coleoptera" "Cryptophagidae" "Antherophagus" 50.3 0.0117 84 94
"4324" "Arthropoda" "Insecta" "Coleoptera" "Anthicidae" "Anthicus" 66 0.0117 82 94
"4333" "Arthropoda" "Insecta" "Hymenoptera" "Megachilidae" "Anthidium" 37.2 15.97 87 90
"4338" "Arthropoda" "Insecta" "Diptera" "Neurochaetidae" "Anthoclusia" 38 33.9 86 87
"4340" "Arthropoda" "Insecta" "Coleoptera" "Curculionidae" "Anthonomus" 50.3 0.0117 84 94
"4373" "Arthropoda" "Insecta" "Hymenoptera" "Apidae" "Anthophorites" 28.1 11.608 89 92
"4383" "Arthropoda" "Insecta" "Hemiptera" "Procercopidae" "Anthoscytina" 190.8 112.03 61 75
"4447" "Arthropoda" "Myriapoda" "Spirobolida" "Anthracojulidae" "Anthracojulus" 304.8 303.4 41 42
"4449" "Arthropoda" "Arachnida" "Trigonotarbida" "Anthracomartidae" "Anthracomartus" 339.4 295.5 37 43
"4501" "Arthropoda" "Arachnida" "Scorpiones" "Anthracoscorpionidae" "Anthracoscorpio" 318.1 311.45 39 40
"4503" "Arthropoda" "Arachnida" "Trigonotarbida" "Anthracosironidae" "Anthracosiro" 318.1 306.95 39 41
"4515" "Arthropoda" "Insecta" "Coleoptera" "Dermestidae" "Anthrenus" 38 33.9 86 87
"4525" "Arthropoda" "Insecta" "Coleoptera" "Anthribidae" "Anthribites" 93.9 11.608 77 92
"4528" "Arthropoda" "Insecta" "Trichoptera" "Pseudoneureclipsidae" "Antillopsyche" 23.03 13.82 90 91
"4536" "Arthropoda" "Insecta" "Diptera" "Antefungivoridae" "Antiquamedia" 166.1 145 66 69
"4553" "Arthropoda" "Arachnida" "Araneae" "Anyphaenidae" "Anyphaena" 38 33.9 86 87
"4556" "Arthropoda" "Trilobita" "Asaphida" "Nileidae" "Aocaspis" 485.4 468.1 14 16
"4561" "Arthropoda" "Insecta" "Diptera" "Empididae" "Apalocnemis" 83.5 33.9 80 87
"4698" "Arthropoda" "Ostracoda" "Palaeocopida" "Beyrichiidae" "Apatobolbina" 443.4 428.2 21 25
"4735" "Arthropoda" "Trilobita" "Asaphida" "Remopleurididae" "Apatokephalus" 485.4 443.4 14 21
"4812" "Arthropoda" "Trilobita" "Lichida" "Lichidae" "Apatolichas" 485.4 457.5 14 18
"4816" "Arthropoda" "Insecta" "Hemiptera" "Fulgoridae" "Aphaena" 50.3 15.97 84 90
"4821" "Arthropoda" "Insecta" "Hymenoptera" "Formicidae" "Aphaenogaster" 47.8 0 85 94
