"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"8543" "Cnidaria" "Anthozoa" "Stauriida" "Polycoeliidae" "Calophyllum" 346.7 252.17 37 52
"8593" "Cnidaria" "Anthozoa" "Stauriida" "Calostylidae" "Calostylis" 466 382.7 17 33
"8618" "Cnidaria" "Anthozoa" "Stauriida" "Campophyllidae" "Campophyllum" 440.8 323.2 22 38
"8625" "Cnidaria" "Anthozoa" "Scleractinia" "Haplaraeidae" "Camptodocis" 163.5 93.9 67 76
"8651" "Cnidaria" "Anthozoa" "Stauriida" "Hapsiphyllidae" "Canadiphyllum" 376.1 336 34 37
"8685" "Cnidaria" "Anthozoa" "Stauriida" "Cyathopsidae" "Caninia" 419.2 252.17 29 52
"8869" "Cnidaria" "Anthozoa" "Stauriida" "Bothrophyllidae" "Caninophyllum" 419.2 279.3 29 45
"8925" "Cnidaria" "Anthozoa" "Stauriida" "Aulophyllidae" "Caninostrotion" 339.4 314.6 37 40
"8927" "Cnidaria" "Anthozoa" "Scleractinia" "Heterocoeniidae" "Canleria" 93.5 72.1 77 80
"8929" "Cnidaria" "Anthozoa" "Auloporida" "Syringoporidae" "Cannapora" 443.4 433.4 21 23
"8933" "Cnidaria" "Anthozoa" "Cystiphyllida" "Tryplasmatidae" "Cantrillia" 440.8 423 22 27
"8936" "Cnidaria" "Anthozoa" "Stauriida" "Lonsdaleiidae" "Carcinophyllum" 346.7 252.17 37 52
"8951" "Cnidaria" "Anthozoa" "Stauriida" "Disphyllidae" "Careophyllum" 388.1 372.2 32 34
"8969" "Cnidaria" "Anthozoa" "Stauriida" "Kodonophyllidae" "Carinophyllum" 433.4 427.4 24 25
"8971" "Cnidaria" "Anthozoa" "Stauriida" "Geyerophyllidae" "Carinthiaphyllum" 306.95 252.17 41 52
"8982" "Cnidaria" "Anthozoa" "Stauriida" "Spongophyllidae" "Carlinastraea" 419.2 391.9 29 32
"8990" "Cnidaria" "Anthozoa" "Scleractinia" "Carolastraeidae" "Carolastraea" 150.8 122.46 69 74
"9009" "Cnidaria" "Anthozoa" "Stauriida" "Aulophyllidae" "Carruthersella" 345.3 323.2 37 38
"9014" "Cnidaria" "Anthozoa" "Scleractinia" "Caryophylliidae" "Caryophyllia" 161.2 0 67 94
"9334" "Cnidaria" "Hydrozoa" "Lemniscaterina" "Lemniscateridae" "Cassianastraea" 247.2 221.5 53 57
"9345" "Cnidaria" "Anthozoa" "Stauriida" "Laccophyllidae" "Catactotoechus" 388.1 364.7 32 35
"9352" "Cnidaria" "Anthozoa" "Heliolitida" "Halysitidae" "Catenipora" 485.4 419.2 14 28
"9681" "Cnidaria" "Anthozoa" "Scleractinia" "Merulinidae" "Caulastrea" 58.7 0 83 94
"9837" "Cnidaria" "Anthozoa" "Cystiphyllida" "Digonophyllidae" "Cayugaea" 423 382.7 28 33
"9843" "Cnidaria" "Anthozoa" "Favositida" "Pachyporidae" "Celechopora" 388.1 383.7 32 33
"9846" "Cnidaria" "Anthozoa" "Scleractinia" "Faviidae" "Ceratophyllia" 23.03 5.333 90 92
"9853" "Cnidaria" "Anthozoa" "Stauriida" "Disphyllidae" "Ceratophyllum" 409.1 382.4 30 34
"9860" "Cnidaria" "Anthozoa" "Scleractinia" "Montlivaltiidae" "Ceratothecia" 161.2 109 67 75
"9862" "Cnidaria" "Anthozoa" "Scleractinia" "Caryophylliidae" "Ceratotrochus" 86.3 0.0117 79 94
"9938" "Cnidaria" "Anthozoa" "Stauriida" "Stauriidae" "Ceriaster" 443.4 433.4 21 23
"9951" "Cnidaria" "Anthozoa" "Scleractinia" "Stylophyllidae" "Cerioheterastraea" 237 205.6 56 58
