"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"13938" "Mollusca" "Gastropoda" "Neogastropoda" "Melongenidae" "Busycon" 61.6 0 83 94
"14177" "Mollusca" "Gastropoda" "Neogastropoda" "Melongenidae" "Busycotypus" 11.62 0 92 94
"14436" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Calcarata" 23.03 2.588 90 93
"14444" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Calicantharus" 28.4 0 88 94
"14470" "Mollusca" "Gastropoda" "Neogastropoda" "Conidae" "Californiconus" 5.333 0 93 94
"15203" "Mollusca" "Gastropoda" "Sorbeoconcha" "Acanthonematidae" "Callispira" 313.8 302.2 40 42
"15209" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Callistadia" 393.3 252.17 32 52
"15247" "Mollusca" "Gastropoda" "Pleurotomariida" "Phymatopleuridae" "Callitomaria" 323.2 252.17 39 52
"15260" "Mollusca" "Gastropoda" "Neogastropoda" "Nassariidae" "Calophos" 15.97 0.0117 91 94
"15308" "Mollusca" "Gastropoda" "Neogastropoda" "Pseudolividae" "Calorebama" 70.6 37.2 81 87
"15315" "Mollusca" "Gastropoda" "Neogastropoda" "Muricidae" "Calotrophon" 20.44 0.0117 90 94
"15410" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Calvibembexia" 407.6 382.7 31 33
"16308" "Mollusca" "Gastropoda" "Sorbeoconcha" "Campanilidae" "Campanile" 99.6 0.781 76 94
"16389" "Mollusca" "Gastropoda" "Architaenioglossa" "Viviparidae" "Campeloma" 125 56 74 83
"16405" "Mollusca" "Gastropoda" "Allogastropoda" "Tofanellidae" "Camponaxis" 237 83.6 56 79
"16471" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Cancellaria" 100.5 0 76 94
"16950" "Mollusca" "Gastropoda" "Euomphalina" "Platyceratidae" "Cancellator" 419.2 387.7 29 32
"16952" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Cancelrana" 61.6 41.3 83 85
"16956" "Mollusca" "Gastropoda" "Neogastropoda" "Mitridae" "Cancilla" 28.1 0.0117 89 94
"17009" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Cantharus" 99.6 0 76 94
"17328" "Mollusca" "Gastropoda" "Neogastropoda" "Volutidae" "Caricella" 89.8 11.62 78 92
"17497" "Mollusca" "Gastropoda" "Bellerophontida" "Pterothecidae" "Carinaropsis" 460.9 410.8 17 29
"17550" "Mollusca" "Gastropoda" "Allogastropoda" "Mathildidae" "Carinathilda" 168.3 109 65 75
"17575" "Mollusca" "Gastropoda" "Neogastropoda" "Pseudomelaniidae" "Carinodrillia" 33.9 0.781 88 94
"17639" "Mollusca" "Gastropoda" "Neogastropoda" "Volutidae" "Carota" 100.5 86.3 76 78
"17683" "Mollusca" "Gastropoda" "Heterostropha" "Cassianebalidae" "Cassianebala" 237 228 56 57
"17686" "Mollusca" "Gastropoda" "Neritoina" "Neritopsidae" "Cassianopsis" 242 145 54 69
"17727" "Mollusca" "Gastropoda" "Sorbeoconcha" "Cassiopidae" "Cassiope" 130 83.5 73 80
"17920" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Cataschisma" 471.8 425.6 15 26
"17935" "Mollusca" "Gastropoda" "Murchisoniina" "Hormotomidae" "Catazone" 438.5 387.7 23 32
"17960" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Caveola" 100.5 59.2 76 83
"17995" "Mollusca" "Gastropoda" "Thecosomata" "Cavoliniidae" "Cavolinia" 28.4 0.0117 88 94
"18085" "Mollusca" "Gastropoda" "Patellogastropoda" "Nacellidae" "Cellana" 56 0.0117 84 94
